,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
3460,Washington Heights,40.851902525553044,-73.93690027985234,Cabrini Wines,40.85129218870419,-73.93971626183753,Wine Shop,shops,Manhattan,-73.93690027985234,New York
3461,Washington Heights,40.851902525553044,-73.93690027985234,Bennett Wines & Liquor,40.85045575462591,-73.93676854425944,Liquor Store,shops,Manhattan,-73.93690027985234,New York
3462,Washington Heights,40.851902525553044,-73.93690027985234,Vines on Pine,40.8552777479788,-73.93767127156606,Wine Shop,shops,Manhattan,-73.93690027985234,New York
3463,Washington Heights,40.851902525553044,-73.93690027985234,Café Bark,40.851353,-73.939896,Pet Café,parks_outdoors,Manhattan,-73.93690027985234,New York
3464,Washington Heights,40.851902525553044,-73.93690027985234,Hudson View Restaurant,40.850888432086236,-73.93823069541277,Breakfast Spot,food,Manhattan,-73.93690027985234,New York
3465,Washington Heights,40.851902525553044,-73.93690027985234,Bennett Park,40.85296731395129,-73.93787361453009,Park,parks_outdoors,Manhattan,-73.93690027985234,New York
3466,Washington Heights,40.851902525553044,-73.93690027985234,Fresco's Pizzeria,40.85520157236451,-73.93721648678681,Pizza Place,food,Manhattan,-73.93690027985234,New York
3467,Washington Heights,40.851902525553044,-73.93690027985234,The Pandering Pig,40.855226197706585,-73.93779261979789,American Restaurant,food,Manhattan,-73.93690027985234,New York
3468,Washington Heights,40.851902525553044,-73.93690027985234,Las Tapas,40.85523384393846,-73.93728400575858,Tapas Restaurant,food,Manhattan,-73.93690027985234,New York
3469,Washington Heights,40.851902525553044,-73.93690027985234,Chittenden Overlook,40.85502970536667,-73.93936157226562,Scenic Lookout,parks_outdoors,Manhattan,-73.93690027985234,New York
3470,Washington Heights,40.851902525553044,-73.93690027985234,181 Cabrini,40.851251236650356,-73.94034289599841,New American Restaurant,food,Manhattan,-73.93690027985234,New York
3471,Washington Heights,40.851902525553044,-73.93690027985234,Buunni Coffee,40.85519403267616,-73.9377173781395,Café,food,Manhattan,-73.93690027985234,New York
3472,Washington Heights,40.851902525553044,-73.93690027985234,Fort Washington Bakery & Deli,40.85104558248512,-73.93864460474616,Bakery,food,Manhattan,-73.93690027985234,New York
3473,Washington Heights,40.851902525553044,-73.93690027985234,La Casa del Mofongo,40.85026656753515,-73.93314532362541,Caribbean Restaurant,food,Manhattan,-73.93690027985234,New York
3474,Washington Heights,40.851902525553044,-73.93690027985234,Kismat Indian Restaurant,40.855221723964846,-73.93696683600031,Indian Restaurant,food,Manhattan,-73.93690027985234,New York
3475,Washington Heights,40.851902525553044,-73.93690027985234,La Cabana Salvadorena,40.85433401375745,-73.9336768506694,Latin American Restaurant,food,Manhattan,-73.93690027985234,New York
3476,Washington Heights,40.851902525553044,-73.93690027985234,Highbridge Park Pool,40.849110201463084,-73.93683928010928,Pool,parks_outdoors,Manhattan,-73.93690027985234,New York
3477,Washington Heights,40.851902525553044,-73.93690027985234,Lucky 7 Tapas Bar,40.85044675560533,-73.93303027615121,Tapas Restaurant,food,Manhattan,-73.93690027985234,New York
3478,Washington Heights,40.851902525553044,-73.93690027985234,Terravita,40.848059,-73.937645,New American Restaurant,food,Manhattan,-73.93690027985234,New York
3479,Washington Heights,40.851902525553044,-73.93690027985234,181 Gourmet Deli,40.851095815370044,-73.93892661241044,Deli / Bodega,food,Manhattan,-73.93690027985234,New York
3480,Washington Heights,40.851902525553044,-73.93690027985234,Yo Sweets,40.85083131851628,-73.9378569165125,Frozen Yogurt Shop,food,Manhattan,-73.93690027985234,New York
3481,Washington Heights,40.851902525553044,-73.93690027985234,Punto de Sabor Restaurant,40.85074,-73.93247,Spanish Restaurant,food,Manhattan,-73.93690027985234,New York
3482,Washington Heights,40.851902525553044,-73.93690027985234,Yang Garden,40.85530896752232,-73.93783226069496,Chinese Restaurant,food,Manhattan,-73.93690027985234,New York
3483,Washington Heights,40.851902525553044,-73.93690027985234,Starbucks,40.85096145,-73.93833015,Coffee Shop,food,Manhattan,-73.93690027985234,New York
3484,Washington Heights,40.851902525553044,-73.93690027985234,Poción,40.847628782562246,-73.93837984011846,Lounge,nightlife,Manhattan,-73.93690027985234,New York
3485,Washington Heights,40.851902525553044,-73.93690027985234,The Vitamin Shoppe,40.8501171,-73.9351315,Supplement Shop,education,Manhattan,-73.93690027985234,New York
